s1_name,patch_id,reference_map_id
S1A_IW_GRDH_1SDV_20170706T064235_29SND_33_1,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_01,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_01_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_33_3,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_03,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_03_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_33_5,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_05,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_05_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_33_6,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_06,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_06_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_33_7,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_07,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_07_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_33_8,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_08,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_08_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_33_9,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_09,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_09_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_33_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_78_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_33_79,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_79,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_79_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_33_84,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_84,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_84_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_33_85,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_85,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_85_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_33_86,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_86,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_86_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_33_87,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_87,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_87_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_34_3,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_03,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_03_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_34_4,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_04,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_04_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_34_5,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_05,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_05_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_34_84,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_84,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_84_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_34_88,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_88,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_88_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_34_89,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_89,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_89_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_35_0,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_00,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_00_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_35_1,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_01,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_01_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_35_2,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_02,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_02_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_35_3,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_03,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_03_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_35_6,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_06,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_06_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_35_7,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_07,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_07_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_35_8,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_08,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_08_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_35_12,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_12,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_12_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_35_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_78_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_35_79,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_79,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_79_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_35_80,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_80,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_80_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_35_88,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_88,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_88_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_35_90,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_90,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_90_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_36_0,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_00,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_00_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_36_1,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_01,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_01_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_36_2,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_02,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_02_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_36_4,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_04,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_04_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_36_6,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_06,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_06_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_36_7,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_07,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_07_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_36_11,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_11,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_11_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_36_12,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_12,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_12_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_36_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_78_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_36_80,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_80,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_80_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_36_81,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_81,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_81_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_36_87,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_87,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_87_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_36_88,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_88,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_88_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_37_1,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_01,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_01_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_37_2,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_02,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_02_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_37_3,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_03,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_03_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_37_4,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_04,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_04_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_37_6,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_06,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_06_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_37_7,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_07,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_07_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_37_8,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_08,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_08_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_37_10,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_10,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_10_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_37_11,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_11,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_11_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_37_12,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_12,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_12_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_37_81,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_81,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_81_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_37_87,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_87,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_87_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_37_88,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_88,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_88_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_38_0,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_00,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_00_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_38_1,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_01,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_01_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_38_2,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_02,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_02_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_38_4,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_04,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_04_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_38_7,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_07,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_07_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_38_8,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_08,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_08_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_38_11,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_11,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_11_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_38_12,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_12,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_12_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_38_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_78_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_38_80,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_80,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_80_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_38_81,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_81,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_81_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_38_83,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_83,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_83_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_38_88,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_88,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_88_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_39_1,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_01,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_01_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_39_2,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_02,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_02_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_39_3,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_03,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_03_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_39_4,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_04,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_04_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_39_7,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_07,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_07_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_39_10,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_10,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_10_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_39_11,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_11,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_11_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_39_84,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_84,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_84_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_39_85,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_85,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_85_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_39_89,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_89,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_89_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_39_90,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_90,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_90_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_40_1,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_01,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_01_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_40_4,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_04,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_04_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_40_7,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_07,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_07_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_40_9,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_09,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_09_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_40_11,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_11,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_11_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_40_81,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_81,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_81_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_40_82,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_82,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_82_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_40_86,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_86,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_86_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_41_2,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_02,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_02_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_41_3,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_03,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_03_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_41_4,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_04,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_04_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_41_11,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_11,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_11_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_41_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_78_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_41_80,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_80,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_80_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_41_86,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_86,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_86_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_41_89,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_89,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_89_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_42_0,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_00,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_00_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_42_2,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_02,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_02_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_42_4,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_04,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_04_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_42_6,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_06,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_06_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_42_7,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_07,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_07_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_42_8,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_08,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_08_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_42_9,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_09,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_09_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_42_10,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_10,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_10_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_42_12,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_12,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_12_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_42_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_78_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_42_80,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_80,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_80_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_42_82,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_82,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_82_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_42_83,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_83,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_83_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_42_87,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_87,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_87_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_43_0,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_00,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_00_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_43_2,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_02,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_02_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_43_3,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_03,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_03_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_43_4,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_04,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_04_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_43_5,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_05,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_05_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_43_9,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_09,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_09_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_43_82,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_82,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_82_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_43_83,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_83,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_83_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_43_84,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_84,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_84_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_43_89,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_89,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_43_89_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_44_2,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_02,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_02_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_44_3,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_03,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_03_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_44_4,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_04,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_04_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_44_5,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_05,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_05_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_44_6,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_06,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_06_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_44_9,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_09,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_09_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_44_10,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_10,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_10_reference_map
S1A_IW_GRDH_1SDV_20170706T064300_29SND_44_88,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_88,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_88_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_45_0,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_45_00,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_45_00_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_45_1,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_45_01,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_45_01_reference_map
S1A_IW_GRDH_1SDV_20170706T064235_29SND_45_2,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_45_02,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_45_02_reference_map
